COL.ID,SEASON,SITE,SPECIES,SE,PE,PC,LPC,Col,WE,TAG,FFA,storage,structural,STOSTR
OT-PD2,4_SP,OT,PA,0.005470889,0.003179046,0.024985925,0.03393459,0.082599136,0.328578443,0.080406138,0.440845833,0.855301303,0.144698697,5.910912266
OT-PD5,4_SP,OT,PA,0.00416455,0.005446247,0.030107738,0.055262269,0.110592577,0.3487277,0.06259344,0.383105479,0.798591169,0.201408831,3.96502559
OT-PD7,4_SP,OT,PA,0.003703453,0.001855183,0.019121485,0.026697048,0.051733748,0.338708906,0.129705029,0.428475148,0.900592536,0.099407464,9.059606792
OT-PD9,4_SP,OT,PA,0.004122315,0.001528769,0.01597438,0.023750234,0.049981123,0.361333244,0.130628968,0.412680966,0.908765493,0.091234506,9.960765207
OT-PD10,4_SP,OT,PA,0.004568118,0.001633555,0.016137817,0.023106021,0.04837449,0.339254753,0.127954657,0.438970589,0.910748117,0.089251883,10.20424541
OT-PD1,5_SM19,OT,PA,0.002716637,0.00298529,0.044510357,0.04214215,0.039161565,0.329762996,0.161024317,0.377696688,0.871200638,0.128799362,6.764013614
OT-PD2,5_SM19,OT,PA,0.004280949,0.004565088,0.065891766,0.057225662,0.04718476,0.398621061,0.100740496,0.321490217,0.825132723,0.174867276,4.718622843
OT-PD5,5_SM19,OT,PA,0.00497751,0.00400375,0.053181839,0.050265695,0.038151666,0.581346329,0.095155274,0.172917938,0.854397051,0.14560295,5.867992723
OT-PD7,5_SM19,OT,PA,0.007262709,0.004731523,0.073836543,0.064549683,0.048159848,0.429865726,0.12510472,0.246489248,0.808722403,0.191277597,4.228003779
OT-PD9,5_SM19,OT,PA,0.007474154,0.004421623,0.062090777,0.052081419,0.042863514,0.490361497,0.111300456,0.229406561,0.838542668,0.161457333,5.193586766
OT-PD10,5_SM19,OT,PA,0.00876443,0.00614285,0.076784459,0.062659432,0.053021136,0.36920814,0.091741171,0.331678382,0.801392123,0.198607877,4.035047024
OT-AN5,1_SM18,OT,AN,0,0.060936902,0.046198197,0.07342887,0.097955953,0,0.009150475,0.712329603,0.721480078,0.278519922,2.59040744
OT-AN8,1_SM18,OT,AN,0,0.067847666,0.24387594,0.080605662,0.071874282,0.012757509,0.042429214,0.480609726,0.535796449,0.46420355,1.154227384
OT-AN9,1_SM18,OT,AN,0,0.031261347,0.073571915,0.0772506,0.086706651,0.044465812,0.092986433,0.593757242,0.731209487,0.268790513,2.720369402
