COL.ID,SEASON,SITE,SPECIES,PE,PC,LPC,Col,WE,TAG,FFA,SE
WT-AN8,4_SP,WT,AN,0.012319275,0.251628468,0.088847801,0.131458273,0.182241587,0.040571933,0.28864669,0.004285973
WT-AN1,5_SM19,WT,AN,0.072971845,0.212922986,0.078342534,0.056556035,0.092108517,0.019365113,0.467732971,0
WT-AN3,5_SM19,WT,AN,0,0.166472658,0.010765406,0.028533089,0.065187287,0.014365869,0.714675692,0
WT-AN6,5_SM19,WT,AN,0.081322043,0.121976621,0.07029456,0.041139413,0.18850055,0.072402992,0.42436382,0
WT-AN8,5_SM19,WT,AN,0.049995366,0.097213263,0.036607904,0.029776868,0.254937162,0.201928925,0.329385596,0.000154915
WT-AN11,5_SM19,WT,AN,0.023343421,0.19441306,0.074685718,0.057144563,0.194926771,0.086676977,0.368264917,0.000544572
WT-AN14,5_SM19,WT,AN,0.02893669,0.189009799,0.064906177,0.049740441,0.174858308,0.059579251,0.432969334,0
OT-PL1,1_SM18,OT,PL,0,0.035425092,0,0.105069886,0.052308362,0.079264414,0.727932246,0
OT-PL4,1_SM18,OT,PL,0.040070264,0.056058116,0.010782523,0.029011771,0.181343265,0.340816849,0.340258342,0.00165887
OT-PL5,1_SM18,OT,PL,0.094851075,0.137765061,0.011559772,0.09528166,0.014196028,0.205701094,0.440645311,0
OT-PL6,1_SM18,OT,PL,0.109891459,0.144535724,0.019631381,0.06788817,0.066578407,0.160266069,0.431208791,0
OT-PL8,1_SM18,OT,PL,0.087821024,0.10839113,0.024205241,0.080683747,0.064932094,0.235636714,0.394768853,0.003561195
OT-PL9,1_SM18,OT,PL,0.086894225,0.099220761,0.015174747,0.041349227,0.176345111,0.214305232,0.365677559,0.001033138
OT-PL1,2_FL,OT,PL,0.089196478,0.167699397,0.056448985,0.23525403,0.031918472,0.061228712,0.333294278,0.024959648
OT-PL4,2_FL,OT,PL,0.047093551,0.073961105,0.017573018,0.085925854,0.152989999,0.230662408,0.387604268,0.004189797
OT-PL5,2_FL,OT,PL,0.090704495,0.159010778,0.042750926,0.206840761,0.146890966,0.133267998,0.216898104,0.003635971
OT-PL6,2_FL,OT,PL,0.079540162,0.111269658,0.027183863,0.103372456,0.120160439,0.211595445,0.344746073,0.002131903
OT-PL8,2_FL,OT,PL,0.063330887,0.117080557,0.032528579,0.121450459,0.178882112,0.33071928,0.150642565,0.005365562
OT-PL9,2_FL,OT,PL,0.086832581,0.147557522,0.044218542,0.118262065,0.115072777,0.143614566,0.339636553,0.004805394
OT-PL1,3_WNT,OT,PL,0.010993631,0.055662102,0.019599856,0.081279842,0.084632827,0.279620348,0.462717594,0.005493798
OT-PL4,3_WNT,OT,PL,0.013185249,0.066577069,0.023750375,0.08461957,0.094779647,0.229289003,0.485732013,0.002067075
OT-PL5,3_WNT,OT,PL,0.034636033,0.110446679,0.036456769,0.205126753,0.040684104,0.170612097,0.402037565,0
OT-PL6,3_WNT,OT,PL,0.015004875,0.08383424,0.031782142,0.104573835,0.088096021,0.160877535,0.513746148,0.002085204
OT-PL8,3_WNT,OT,PL,0.02459993,0.089113809,0.040018956,0.132375887,0.071089965,0.206876522,0.433464783,0.002460147
OT-PL9,3_WNT,OT,PL,0.018447963,0.083798597,0.032525187,0.100107441,0.072639553,0.087737437,0.603944769,0.000799052
OT-PL1,4_SP,OT,PL,0.003786641,0.170079774,0.064813228,0.079243205,0.068499193,0.099748185,0.511329954,0.00249982
OT-PL4,4_SP,OT,PL,0.00149586,0.060168645,0.020531939,0.029503789,0.228772062,0.236721814,0.414756115,0.008049775
OT-PL5,4_SP,OT,PL,0.002915142,0.113464503,0.041102364,0.050546232,0.184117321,0.361108046,0.242165352,0.00458104
OT-PL6,4_SP,OT,PL,0.004193834,0.145000002,0.052011427,0.051600057,0.116645675,0.208067649,0.422020112,0.000461242
OT-PL8,4_SP,OT,PL,0.002151586,0.092426773,0.036177714,0.043513149,0.184736471,0.317254402,0.313958614,0.00978129
OT-PL9,4_SP,OT,PL,0.001438119,0.059102944,0.022553508,0.028852854,0.254581762,0.124383341,0.506319484,0.002767988
OT-PL1,5_SM19,OT,PL,0.06286445,0.121407144,0.022769281,0.061952916,0.067509629,0.192969236,0.466274594,0.004252749
OT-PL4,5_SM19,OT,PL,0.053740648,0.063407791,0.0127906,0.034257425,0.139895701,0.260119275,0.431732734,0.004055825
OT-PL5,5_SM19,OT,PL,0.033719336,0.057326855,0.013166344,0.028576362,0.274123598,0.458024548,0.127848915,0.00721404
OT-PL6,5_SM19,OT,PL,0.065020098,0.066661498,0.019750039,0.032795131,0.215924536,0.352202763,0.2469314,0.000714533
OT-PL8,5_SM19,OT,PL,0.03171205,0.084663266,0.000821007,0.036687109,0.152102139,0.545635877,0.145602278,0.002776275
OT-PL9,5_SM19,OT,PL,0.060555272,0.095050741,0.015278003,0.038185706,0.125896075,0.312298588,0.349816991,0.002918624
WT-PL1,1_SM18,WT,PL,0.083938755,0.111008355,0.017532427,0.061294914,0.084332236,0.307047818,0.33375263,0.001092864
WT-PL2,1_SM18,WT,PL,0.119016894,0.170872149,0.038625801,0.060888202,0.023950244,0.152868958,0.430430341,0.003347409
WT-PL3,1_SM18,WT,PL,0.124515204,0.152418672,0.030147226,0.064525465,0.078601486,0.193673306,0.352395539,0.003723101
WT-PL4,1_SM18,WT,PL,0.116236001,0.14201514,0.045195371,0.062939942,0.048389149,0.195419118,0.385779146,0.004026134
WT-PL6,1_SM18,WT,PL,0.130995572,0.155825337,0.047758628,0.063536816,0.074634125,0.185134355,0.338765292,0.003349877
WT-PL10,1_SM18,WT,PL,0.133416729,0.138699885,0.037648243,0.048699372,0.104201964,0.202305708,0.328774466,0.006253632
WT-PL1,2_FL,WT,PL,0.072544579,0.161734234,0.030267289,0.205403274,0.089835305,0.089016892,0.351198427,0
WT-PL2,2_FL,WT,PL,0.063261254,0.165167404,0.039262144,0.165916951,0.095067381,0.096740311,0.373934645,0.00064991
WT-PL3,2_FL,WT,PL,0.096891344,0.145782833,0.026859085,0.138766342,0.118090912,0.197931988,0.275180642,0.000496854
WT-PL4,2_FL,WT,PL,0.111846982,0.150657505,0.065978814,0.158185694,0.090875512,0.157711415,0.261571961,0.003172117
WT-PL6,2_FL,WT,PL,0.136542677,0.200222794,0.040718363,0.202080133,0.078833936,0.094068898,0.244099071,0.003434128
WT-PL10,2_FL,WT,PL,0.110490242,0.155601294,0.034287685,0.123235698,0.10865739,0.161334049,0.303553004,0.002840638
WT-PL1,3_WNT,WT,PL,0.016992608,0.080795977,0.048018908,0.092338566,0.056390399,0.098551808,0.603870043,0.003041692
WT-PL2,3_WNT,WT,PL,0.019632524,0.089139306,0.03669952,0.114181613,0.039153969,0.010664068,0.689923692,0.000605308
WT-PL3,3_WNT,WT,PL,0.016592385,0.098560299,0.039151941,0.106496093,0.064993859,0.121609645,0.550321648,0.00227413
WT-PL4,3_WNT,WT,PL,0.021178919,0.086505845,0.065887253,0.108001107,0.063509998,0.135459066,0.517286085,0.002171728
WT-PL6,3_WNT,WT,PL,0.017804131,0.091149632,0.045655222,0.122816094,0.064866302,0.103919201,0.54984924,0.003940178
WT-PL10,3_WNT,WT,PL,0.016657332,0.086486513,0.040287126,0.104534974,0.052885838,0.093490792,0.601042484,0.00461494
WT-PL1,4_SP,WT,PL,0.002148463,0.067026965,0.025506403,0.030987417,0.243108459,0.250376521,0.37906131,0.001784461
WT-PL2,4_SP,WT,PL,0.002032922,0.067811112,0.030556634,0.026983401,0.44153097,0.08267184,0.347973442,0.000439679
WT-PL3,4_SP,WT,PL,0.002723327,0.110186898,0.044225247,0.03950554,0.176610391,0.335305246,0.290553031,0.00089032
WT-PL4,4_SP,WT,PL,0.002535519,0.090136535,0.057679669,0.040394844,0.274889695,0.274723675,0.259640063,0
WT-PL6,4_SP,WT,PL,0.003032688,0.11890965,0.05874714,0.048006445,0.276098703,0.218557572,0.273299332,0.003348469
WT-PL10,4_SP,WT,PL,0.002869305,0.133877213,0.054161339,0.047950593,0.192715976,0.252131478,0.302281728,0.014012368
WT-PL1,5_SM19,WT,PL,0.019897934,0.062318982,0.017540733,0.033111086,0.158923713,0.274604322,0.431267016,0.002336214
WT-PL2,5_SM19,WT,PL,0.091306647,0.103124321,0.016995957,0.047891626,0.07787988,0.299008638,0.362094735,0.001698196
WT-PL3,5_SM19,WT,PL,0.053159624,0.144246377,0.024759641,0.062170468,0.146952537,0.325549774,0.242651242,0.000510337
WT-PL4,5_SM19,WT,PL,0.035949682,0.096018801,0.024182358,0.050340044,0.198319157,0.355933216,0.238836368,0.000420373
WT-PL6,5_SM19,WT,PL,0.064251704,0.080209759,0.026751776,0.043849558,0.196013555,0.246626003,0.337091759,0.005205886
WT-PL10,5_SM19,WT,PL,0.064780799,0.065300131,0.015403485,0.035295975,0.182968646,0.254785643,0.37163783,0.009827491
