COL.ID,SEASON,SITE,SPECIES,SE,WE,TAG,FFA,Col,PE,PC,LPC
OT-PL8,3_WNT,OT,PL,0.315067953,9.104401709,26.49441412,55.51328576,16.95321219,3.150481874,11.41269268,5.125177041
OT-PL9,3_WNT,OT,PL,0.135155065,12.28656995,14.84029167,102.1538449,16.93260796,3.120368725,14.17405921,5.501451578
OT-PL1,4_SP,OT,PL,0.190465571,5.219071085,7.599985434,38.95910679,6.037675765,0.28851068,12.95866987,4.938231083
OT-PL4,4_SP,OT,PL,1.898023666,53.94123136,55.81567116,97.79365276,6.956578066,0.352702794,14.18691946,4.841142196
OT-PL5,4_SP,OT,PL,0.49652511,19.95592233,39.13941443,26.24757376,5.478554001,0.315963497,12.29807599,4.45496157
OT-PL6,4_SP,OT,PL,0.086593062,21.89890957,39.06235381,79.22951504,9.687328581,0.787345093,27.22211453,9.764558703
OT-PL8,4_SP,OT,PL,0.980388861,18.51632865,31.79873881,31.4683985,4.361368243,0.215655746,9.264031634,3.626129958
OT-PL9,4_SP,OT,PL,0.576788038,53.04925958,25.91876223,105.5058836,6.012302515,0.29967243,12.31575819,4.699656863
OT-PL1,5_SM19,OT,PL,0.459212212,7.289695643,20.83683483,50.34837113,6.689681237,6.788108809,13.10955395,2.458628889
OT-PL4,5_SM19,OT,PL,0.867007661,29.90529244,55.60530408,92.29085356,7.323157936,11.48805711,13.55458756,2.734227191
OT-PL5,5_SM19,OT,PL,1.429718988,54.3273533,90.77387579,25.33781556,5.663423763,6.682687332,11.36135797,2.609380031
OT-PL6,5_SM19,OT,PL,0.14934834,45.13151964,73.61574655,51.61242687,6.854682344,13.59019171,13.93326938,4.128059253
OT-PL8,5_SM19,OT,PL,0.4384205,24.01948474,86.16507789,22.99304741,5.793511274,5.00786577,13.36975303,0.129650823
OT-PL9,5_SM19,OT,PL,0.451597193,19.47983378,48.32179698,54.12699986,5.908454326,9.369685566,14.70715136,2.363957408
WT-PL1,1_SM18,WT,PL,0.182212124,14.06063213,51.19378547,55.64625294,10.21964163,13.99502741,18.5083156,2.923164565
WT-PL2,1_SM18,WT,PL,0.676950102,4.843483067,30.91484989,87.04637976,12.31348509,24.06891133,34.55565416,7.811336319
WT-PL3,1_SM18,WT,PL,0.855981549,18.07133746,44.52760143,81.01957095,14.83510689,28.62740105,35.04271214,6.931175377
WT-PL4,1_SM18,WT,PL,0.537946358,6.465449479,26.1106563,51.54534934,8.409633638,15.53071325,18.97515735,6.038717196
WT-PL6,1_SM18,WT,PL,0.496646476,11.06511651,27.44767513,50.22471218,9.419850143,19.42115996,23.10237462,7.08060535
WT-PL10,1_SM18,WT,PL,1.092657616,18.20655075,35.34759806,57.44468503,8.5089336,23.31106206,24.23415444,6.578039554
WT-PL1,2_FL,WT,PL,0,12.8196396,12.70285068,50.11656886,29.31137079,10.35222575,23.07973004,4.319189806
WT-PL2,2_FL,WT,PL,0.111974946,16.37945116,16.66768533,64.42634863,28.58634104,10.89947574,28.45719939,6.764595323
WT-PL3,2_FL,WT,PL,0.080695858,19.17955911,32.14682831,44.693053,22.53752829,15.73646287,23.67710111,4.362278129
WT-PL4,2_FL,WT,PL,0.340486162,9.754324048,16.92830353,28.07640489,16.97921128,12.00534313,16.17115643,7.08198185
WT-PL6,2_FL,WT,PL,0.387887858,8.904365223,10.62516818,27.57121366,22.82513612,15.42262045,22.61534799,4.599176423
WT-PL10,2_FL,WT,PL,0.481173672,18.40540004,27.32826268,51.41863283,20.87480945,18.71586548,26.35719536,5.807967208
WT-PL1,3_WNT,WT,PL,0.646048217,11.9771865,20.93216934,128.2605594,19.61249152,3.6091895,17.16087316,10.19910164
WT-PL2,3_WNT,WT,PL,0.098454213,6.368450452,1.734526294,112.2170993,18.57180662,3.193258831,14.49863871,5.969230706
WT-PL3,3_WNT,WT,PL,0.376411534,10.75771218,20.12869499,91.08863539,17.62711643,2.74635335,16.31359252,6.480386327
WT-PL4,3_WNT,WT,PL,0.273241161,7.990664267,17.04311063,65.08360238,13.588421,2.664676982,10.88394247,8.28976446
WT-PL6,3_WNT,WT,PL,0.578627336,9.525817514,15.26085676,80.74706522,18.03592408,2.614591892,13.38560594,6.704610854
WT-PL10,3_WNT,WT,PL,0.847126839,9.707820373,17.16133922,110.3284482,19.18862939,3.057650124,15.87562121,7.395177892
WT-PL1,4_SP,WT,PL,0.29712763,40.47957504,41.6897675,63.11685235,5.15966203,0.357736992,11.16054557,4.247027734
WT-PL2,4_SP,WT,PL,0.073436496,73.74588187,13.80810893,58.11961119,4.506851871,0.339544972,11.32602377,5.103664536
WT-PL3,4_SP,WT,PL,0.099414553,19.72059916,37.4407209,32.44361687,4.411251858,0.304091082,12.3036456,4.938261926
WT-PL4,4_SP,WT,PL,0,18.47870767,18.46754742,17.4535929,2.715432843,0.170443323,6.059181974,3.877357942
WT-PL6,4_SP,WT,PL,0.346437348,28.56556201,22.61227522,28.27593512,4.966814674,0.313766208,12.30256038,6.07806213
WT-PL10,4_SP,WT,PL,1.636105756,22.50181548,29.43926148,35.2948822,5.598785453,0.335024485,15.63171057,6.323961725
WT-PL1,5_SM19,WT,PL,0.376830294,25.6343235,44.2935539,69.56317602,5.340803331,3.209527754,10.05202384,2.829312317
WT-PL2,5_SM19,WT,PL,0.159865495,7.331489253,28.14820218,34.087028,4.508442231,8.595463967,9.707961192,1.599972616
WT-PL3,5_SM19,WT,PL,0.03289242,9.471434416,20.98244374,15.63943965,4.007031948,3.426261983,9.297016083,1.595816741
WT-PL4,5_SM19,WT,PL,0.037755064,17.81168546,31.96751425,21.45066736,4.521202339,3.228757304,8.623759362,2.171895872
WT-PL6,5_SM19,WT,PL,0.864495481,32.55023842,40.95500035,55.97784881,7.28170848,10.66971262,13.31972563,4.442431053
WT-PL10,5_SM19,WT,PL,1.833757245,34.14097162,47.54163954,69.34563319,6.586040331,12.0877509,12.18465556,2.874207938
